Date,Time,SO4,NO3,NH4,OC,EC,CHL,Total,place
20180312,N,5.760972316,9.561557506,4.25590817,12.55195413,2.42092197,0.919648886,43.14259764,大里
20180313,D,4.994584838,3.260830325,2.381994585,9.953546355,2.29089559,0.112590253,27.11171662,大里
20180313,N,5.014831461,7.164494382,3.690561798,13.86418365,2.856703247,0.615505618,40.00908265,大里
20180314,D,4.874633596,2.462457723,2.089064262,12.82374887,2.975531053,0.105073281,29.83651226,大里
20180314,N,5.719080874,9.984230683,4.7778779,16.13254876,3.69868191,1.085604866,52.22524977,大里
20180315,D,5.400854317,5.833183453,2.870278777,13.40004049,3.05384027,0.285971223,36.69391462,大里
20180315,N,,,,,,,,大里
20180316,D,4.575253093,1.487289089,1.595050619,9.309907595,1.951652017,0.055793026,24.56857402,大里
20180316,N,5.231825343,2.558631555,1.943281567,5.629738196,1.204502126,0.168354715,20.52679382,大里
20180317,D,3.679415073,1.404949381,0.593475816,8.546404494,1.577797753,0.244094488,21.07175295,大里
20180317,N,3.812864186,5.931196773,2.784849843,10.98042895,2.640531725,0.998879426,35.60399637,大里
20180318,D,7.013060122,4.006755235,2.663138933,10.24877611,1.918360656,0.306237334,31.56221617,大里
20180318,N,6.704907013,4.686981851,2.13600717,11.20628662,1.793005858,1.261259243,37.92007266,大里
20180319,D,9.691093574,2.613754228,3.291770011,10.44633003,1.767434626,0.12626832,31.78928247,大里
20180319,N,,,,,,,,大里
20180320,D,,,,,,,,大里
20180320,N,,,,,,,,大里
20180321,D,3.130346691,0.560783431,0.782755516,5.475851519,1.921813273,0.070688879,11.67120799,大里
20180321,N,2.906242957,1.177372098,0.512283074,6.221383194,1.397175039,0.136353392,12.1253406,大里
20180322,D,3.264010804,0.95070898,0.584965114,7.318686164,1.869160855,0.076299797,17.4386921,大里
20180322,N,4.407115515,3.698266156,2.643323576,12.48986264,2.582292277,0.899346994,32.42506812,大里
20180323,D,3.340914209,0.651429858,0.52172934,6.881978369,1.872109058,0.164377392,25.29518619,大里
20180323,N,3.9819982,1.488748875,1.5090009,11.16733738,2.05436867,0.484923492,30.56312443,大里
20180324,D,4.692602616,0.836265223,1.49571493,8.418705036,1.71004946,0.075778078,27.11171662,大里
20180324,N,6.46387576,2.899617376,2.495386,10.26813734,2.048375224,0.371595769,31.2897366,大里
20180325,D,7.018927445,2.494592159,2.268814781,9.187847019,1.869160855,0.078864353,32.37965486,大里
20180325,N,10.88658866,7.469846985,5.456570657,9.903110511,2.291411209,0.781278128,44.73206176,大里
20180326,D,9.598338572,3.724517288,2.832734621,8.08578438,2.159720909,0.110687023,36.87556767,大里
20180326,N,8.097341145,2.763181613,2.90784137,9.482428732,1.812430976,0.519152772,33.78746594,大里
20180327,D,11.01821862,2.059379217,3.582096266,8.583566622,2.021206819,0.072649573,33.24250681,大里
20180327,N,10.64508878,4.045178692,4.167228591,9.232867448,1.872953111,0.625533828,39.82742961,大里
20180328,D,8.744983089,0.991882751,2.450507328,7.042748709,1.524176959,0.112063134,25.29518619,大里
20180328,N,7.939991043,4.749664129,3.710479176,8.866343869,1.836225062,0.576802508,36.1489555,大里
20180329,D,11.38309353,2.810926259,3.780350719,8.46022973,2.003045045,0.100044964,36.23978202,大里
20180329,N,10.17447096,11.76429536,5.989419181,11.05057021,2.716488618,1.999324629,55.67665758,大里
20180330,D,8.627424447,0.864230943,3.098782138,8.756060401,1.846157314,0.048714479,28.88283379,大里
20180330,N,5.724719101,4.235280899,2.917078652,11.55133047,2.035360289,0.410786517,30.10899183,大里
20180331,D,8.710128581,1.117527634,3.038574329,8.920333784,1.952972485,0.161967065,31.19891008,大里
20180331,N,7.917591125,2.824088748,2.965361105,8.379209877,1.497225589,0.40230926,34.15077203,大里
20180312,D,6.236421005,8.076177597,3.432724814,6.078274616,1.744200542,0.511606942,29.1312559,線西
20180312,N,7.155861757,17.45742037,6.981703185,9.736316618,2.894580616,1.285294782,48.955495,線西
20180313,D,9.303555356,14.53060306,6.648514851,7.622596586,2.313063792,0.286678668,41.46230699,線西
20180313,N,6.476361999,17.20778928,6.842638451,9.497351619,2.946546763,1.184376407,51.90735695,線西
20180314,D,7.330195024,14.18448778,6.106702533,7.567415529,2.173340792,0.277964582,44.73206176,線西
20180314,N,6.237162162,18.44617117,7.177927928,11.09107327,2.779323325,1.20518018,57.35694823,線西
20180315,D,6.57422843,11.42577157,5.410903357,8.975218174,2.895231669,0.855147556,42.32515895,線西
20180315,N,,,,,,,,線西
20180316,D,6.622182146,5.100766456,3.588142471,5.951062106,1.685256526,0.49864743,27.38419619,線西
20180316,N,4.969102391,3.02345512,2.439106901,3.08641569,0.976045987,0.434596301,17.8928247,線西
20180317,D,4.579231288,3.008766015,2.0406833,4.672400179,1.889959623,1.091706001,19.9818347,線西
20180317,N,4.188624101,5.597347122,2.861735612,5.182765288,1.578507194,0.832508993,23.29700272,線西
20180318,D,9.471354752,7.011008762,4.05347113,3.526918578,1.368654971,1.711974837,30.33605813,線西
20180318,N,8.801306601,10.59517909,5.99887362,7.839789379,1.940282321,2.36382068,46.41235241,線西
20180319,D,8.558348294,4.122755835,3.317324955,4.973415786,2.157778277,0.203994614,28.24704814,線西
20180319,N,,,,,,,,線西
20180320,D,,,,,,,,線西
20180320,N,,,,,,,,線西
20180321,D,2.770151276,1.148340483,1.161661775,3.824183007,1.345057471,0.132083992,12.67029973,線西
20180321,N,2.747082585,1.197037702,1.056328546,3.053153396,1.052811516,0.106149013,10.76294278,線西
20180322,D,4.48894903,3.00992332,2.137122237,5.430529399,1.423536833,0.162607127,18.66485014,線西
20180322,N,5.440937782,7.402840397,4.022542831,11.68617223,3.323832281,1.766907124,37.28428701,線西
20180323,D,5.103401667,0.932642487,1.66906961,5.829896303,1.820193868,0.143275513,25.56766576,線西
20180323,N,4.445120577,2.708586883,1.980842912,8.877924358,2.581710941,0.38517016,29.15531335,線西
20180324,D,6.6237646,2.934860737,2.805031447,5.959959614,2.468000897,0.13589398,42.23433243,線西
20180324,N,8.26806212,8.306774702,4.787080801,9.514463964,2.741009009,0.844474454,25.65849228,線西
